Application ID,Contact ID,Application Status,Applicant Type,Organisation Name: Organisation Name,Job Title Clean,Seniority,Truncated Programme Name,Truncated Programme Run,Primary Category,Secondary Category,Programme Start Date,Programme End Date,Run_Month,Run_Month_Label,Gender,Age,Country Of Residence,Domain,Programme Cost
APID-028283,0036F00002YnL5b,Attended,EE Applicant,LTD.,commercial new business,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Male,53.0,Singapore,Marketing,5670.0
APID-027848,0036F00002poMwS,Attended,EE Applicant,CATERPILLAR ASIA PTE LTD,sales,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Female,47.0,Singapore,Sales,5670.0
APID-027857,0036F00002qIDpt,Withdrawn,EE Applicant,FLABYANT NIGERIA LIMITED,production finance,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Male,41.0,Nigeria,Logistics/Supply Chain,5670.0
APID-027889,0036F00002smedO,Withdrawn,EE Applicant,FEDERAL POLY,store,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Male,57.0,Nigeria,HR,5670.0
APID-028001,0036F00002vzIsX,Attended,EE Applicant,GLAXOSMITHKLINE PTE LTD,ethics compliance,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Female,38.0,Singapore,Others,5670.0
APID-027970,0036F00002wWAGc,Withdrawn,EE Applicant,SPARTAN CAPITAL MANAGEMENT PTE LTD,investment,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Male,48.0,Singapore,Logistics/Supply Chain,5670.0
APID-028034,0036F00002yxzMs,Withdrawn,EE Applicant,NUS SCHOOL OF MEDICINE,professor,INDIVIDUAL CONTRIBUTOR,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Female,55.0,Singapore,Strategy/Product,5670.0
APID-028208,0036F000031Q02U,Attended,EE Applicant,ASTELLAS PHARMA SINGAPORE PTE LTD,strategy planning,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Female,50.0,Singapore,Education,5670.0
APID-028457,0036F000036O4rL,Attended,EE Applicant,AUDEMARS PIGUET (SINGAPORE) PTE LTD,southeast,C-LEVEL,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Female,43.0,Singapore,Engineering,5670.0
APID-028541,0036F000038KACk,Attended,EE Applicant,HEATEX INDUSTRIAL TECHNOLOGY PTE LTD,business development,MANAGER,"-cZ@q+ln]/eJk?|&?,,F@7!M++O\yH2j&@8oSd-Z}\cjwHU",May-2019,Accounting & Finance,Non-AI,2019-05-27,2019-05-31,2019-05-01,May-2019,Male,37.0,Singapore,Sales,5670.0
